TABLEDB_BEGIN
4
SECOND
Ns=0.3(810gpm)(15.7metric)
1.310,1.280
1.140,1.240
1.000,1.190
0.850,1.070
0.740,0.930
0.640,0.770
0.530,0.620
0.470,0.550
0.410,0.500
0.370,0.450
0.380,0.420
0.380,0.380
0.340,0.300
0.330,0.230
0.360,0.200
0.360,0.100
0.360,0.000
0.360,-0.100
0.360,-0.200
0.360,-0.300
0.360,-0.400
0.360,-0.500
0.360,-0.600
0.360,-0.700
0.360,-0.800
0.320,-0.900
0.270,-1.000
0.230,-1.100
0.180,-1.200
0.140,-1.300
0.090,-1.400
0.050,-1.500
0.000,-1.600
-0.040,-1.600
-0.080,-1.600
-0.130,-1.480
-0.170,-1.350
-0.220,-1.230
-0.260,-1.110
-0.310,-0.980
-0.350,-0.860
-0.400,-0.740
-0.440,-0.610
TABLEDB_END
TABLEDB_BEGIN
9
SECOND
Ns=0.57(1565gpm)(30.3metric)
-0.440,-0.610
-0.340,-0.490
-0.230,-0.360
-0.130,-0.240
-0.020,-0.120
0.080,0.010
0.190,0.130
0.290,0.250
0.400,0.380
0.500,0.500
0.650,0.440
0.800,0.470
0.930,0.490
1.060,0.500
1.170,0.500
1.260,0.510
1.330,0.510
1.400,0.520
1.450,0.520
1.450,0.530
1.440,0.540
1.420,0.560
1.410,0.630
1.390,0.710
1.400,0.790
1.390,0.900
1.390,1.040
1.410,1.220
1.480,1.420
1.670,1.640
2.070,1.990
2.300,2.230
2.390,2.340
2.350,2.380
2.230,2.330
2.070,2.230
1.800,2.050
1.620,1.880
1.440,1.700
1.230,1.470
1.000,1.220
0.900,1.000
0.800,0.900
0.730,0.780
0.680,0.650
0.680,0.530
0.680,0.400
0.680,0.280
0.680,0.150
0.680,0.030
0.680,-0.100
0.680,-0.230
0.680,-0.350
0.680,-0.480
0.680,-0.600
0.620,-0.730
0.560,-0.850
0.490,-0.980
0.430,-1.100
0.370,-1.230
0.310,-1.350
0.240,-1.480
0.180,-1.600
0.120,-1.600
0.060,-1.600
0.000,-1.480
-0.070,-1.350
-0.130,-1.230
-0.190,-1.110
-0.250,-0.980
-0.320,-0.860
-0.380,-0.740
